date,bikedirection_south,bikedirection_north,biketotal
02.05.2023,2340,2222,4562
03.05.2023,3318,3157,6475
04.05.2023,4583,4281,8864
05.05.2023,3428,3148,6576
06.05.2023,3300,3060,6360
07.05.2023,4074,3686,7760
08.05.2023,2665,2535,5200
09.05.2023,4231,3947,8178
10.05.2023,1507,1516,3023
11.05.2023,1121,1016,2137
12.05.2023,2130,2108,4238
13.05.2023,1864,1779,3643
14.05.2023,1772,1739,3511
15.05.2023,2303,2107,4410
16.05.2023,1742,1681,3423
17.05.2023,2679,2564,5243
18.05.2023,2484,2195,4679
19.05.2023,4215,4163,8378
20.05.2023,3460,3060,6520
21.05.2023,4190,3693,7883
22.05.2023,4202,3946,8148
23.05.2023,3131,3125,6256
24.05.2023,3030,3053,6083
25.05.2023,3809,3655,7464
26.05.2023,3825,3670,7495
27.05.2023,3585,3290,6875
28.05.2023,3828,3556,7384
29.05.2023,4066,3562,7628
30.05.2023,3718,3573,7291
31.05.2023,4287,4079,8366
01.06.2023,4450,4270,8720
02.06.2023,4144,3878,8022
03.06.2023,3972,3643,7615
04.06.2023,3897,3746,7643
05.06.2023,3186,3156,6342
06.06.2023,3756,3626,7382
07.06.2023,4063,3995,8058
08.06.2023,3346,2995,6341
09.06.2023,3553,3194,6747
10.06.2023,3517,3231,6748
11.06.2023,3712,3431,7143
12.06.2023,4661,4544,9205
13.06.2023,5452,5179,10631
14.06.2023,5488,5279,10767
15.06.2023,5024,4893,9917
16.06.2023,4372,4341,8713
17.06.2023,4660,4354,9014
18.06.2023,4492,4115,8607
19.06.2023,4923,4615,9538
20.06.2023,5413,5123,10536
21.06.2023,5205,4900,10105
22.06.2023,4618,4386,9004
23.06.2023,3005,2829,5834
24.06.2023,4584,4179,8763
25.06.2023,4748,4205,8953
26.06.2023,4920,4614,9534
27.06.2023,4876,4734,9610
28.06.2023,4823,4635,9458
29.06.2023,5671,5434,11105
30.06.2023,2151,2117,4268
01.07.2023,3092,3003,6095
02.07.2023,2640,2372,5012
03.07.2023,4494,4255,8749
04.07.2023,5050,4701,9751
05.07.2023,4175,3920,8095
06.07.2023,5364,5118,10482
07.07.2023,5248,4863,10111
08.07.2023,4660,4202,8862
09.07.2023,4718,4149,8867
10.07.2023,4590,4279,8869
11.07.2023,5827,5309,11136
12.07.2023,3580,3415,6995
13.07.2023,4095,4053,8148
14.07.2023,5254,4818,10072
15.07.2023,4375,4269,8644
16.07.2023,4053,3759,7812
17.07.2023,4369,4044,8413
18.07.2023,5219,4910,10129
19.07.2023,5755,5472,11227
20.07.2023,5299,5251,10550
21.07.2023,3378,3179,6557
22.07.2023,4513,3967,8480
23.07.2023,4407,3985,8392
24.07.2023,3237,3049,6286
25.07.2023,2688,2604,5292
26.07.2023,2551,2384,4935
27.07.2023,3908,3834,7742
28.07.2023,3435,3388,6823
29.07.2023,1780,1675,3455
30.07.2023,2912,2705,5617
31.07.2023,4178,3880,8058
01.08.2023,2109,2022,4131
02.08.2023,3220,2972,6192
03.08.2023,4011,3551,7562
04.08.2023,2426,2347,4773
05.08.2023,1023,1054,2077
06.08.2023,987,1028,2015
07.08.2023,1967,1922,3889
08.08.2023,3582,3322,6904
09.08.2023,1799,1760,3559
10.08.2023,3955,3712,7667
11.08.2023,4046,3507,7553
12.08.2023,3091,2792,5883
13.08.2023,2979,2839,5818
14.08.2023,3256,2955,6211
15.08.2023,2492,2308,4800
16.08.2023,3921,3694,7615
17.08.2023,3380,3158,6538
18.08.2023,3566,3315,6881
19.08.2023,3533,3171,6704
20.08.2023,3662,3220,6882
21.08.2023,3785,3462,7247
22.08.2023,4322,3952,8274
23.08.2023,4127,3715,7842
24.08.2023,4078,3686,7764
25.08.2023,2267,2197,4464
26.08.2023,1616,1502,3118
27.08.2023,398,429,827
28.08.2023,724,680,1404
29.08.2023,885,826,1711
30.08.2023,2180,2033,4213
31.08.2023,2463,2389,4852
01.09.2023,1879,1940,3819
02.09.2023,2132,2175,4307
03.09.2023,1771,1855,3626
04.09.2023,3402,3205,6607
05.09.2023,4041,3754,7795
06.09.2023,4188,3854,8042
07.09.2023,4224,4012,8236
08.09.2023,4063,3683,7746
09.09.2023,3698,3260,6958
10.09.2023,3757,3388,7145
11.09.2023,4047,3833,7880
12.09.2023,4429,4137,8566
13.09.2023,1810,1828,3638
14.09.2023,3295,3110,6405
15.09.2023,3808,3492,7300
16.09.2023,3231,3032,6263
17.09.2023,3175,3276,6451
18.09.2023,2559,2516,5075
19.09.2023,3352,3152,6504
20.09.2023,3932,3598,7530
