date,inner_age_au,outer_age_au,inner_age_wp,_wp
02.05.2023,11185,72281,7234,64837
03.05.2023,11185,72281,7234,64837
04.05.2023,11185,72281,7234,64837
05.05.2023,11185,72281,7234,64837
06.05.2023,11185,72281,7234,64837
07.05.2023,11185,72281,7234,64837
08.05.2023,11185,72281,7234,64837
09.05.2023,11185,72281,7234,64837
10.05.2023,11185,72281,7234,64837
11.05.2023,11185,72281,7234,64837
12.05.2023,11185,72281,7234,64837
13.05.2023,11185,72281,7234,64837
14.05.2023,11185,72281,7234,64837
15.05.2023,11185,72281,7234,64837
16.05.2023,11185,72281,7234,64837
17.05.2023,11185,72281,7234,64837
18.05.2023,11185,72281,7234,64837
19.05.2023,11185,72281,7234,64837
20.05.2023,11185,72281,7234,64837
21.05.2023,11185,72281,7234,64837
22.05.2023,11185,72281,7234,64837
23.05.2023,11185,72281,7234,64837
24.05.2023,11185,72281,7234,64837
25.05.2023,11185,72281,7234,64837
26.05.2023,11185,72281,7234,64837
27.05.2023,11185,72281,7234,64837
28.05.2023,11185,72281,7234,64837
29.05.2023,11185,72281,7234,64837
30.05.2023,11185,72281,7234,64837
31.05.2023,11185,72281,7234,64837
01.06.2023,11185,72281,7234,64837
02.06.2023,11185,72281,7234,64837
03.06.2023,11185,72281,7234,64837
04.06.2023,11185,72281,7234,64837
05.06.2023,11185,72281,7234,64837
06.06.2023,11185,72281,7234,64837
07.06.2023,11185,72281,7234,64837
08.06.2023,11185,72281,7234,64837
09.06.2023,11185,72281,7234,64837
10.06.2023,11185,72281,7234,64837
11.06.2023,11185,72281,7234,64837
12.06.2023,11185,72281,7234,64837
13.06.2023,11185,72281,7234,64837
14.06.2023,11185,72281,7234,64837
15.06.2023,11185,72281,7234,64837
16.06.2023,11185,72281,7234,64837
17.06.2023,11185,72281,7234,64837
18.06.2023,11185,72281,7234,64837
19.06.2023,11185,72281,7234,64837
20.06.2023,11185,72281,7234,64837
21.06.2023,11185,72281,7234,64837
22.06.2023,11185,72281,7234,64837
23.06.2023,11185,72281,7234,64837
24.06.2023,11185,72281,7234,64837
25.06.2023,11185,72281,7234,64837
26.06.2023,11185,72281,7234,64837
27.06.2023,11185,72281,7234,64837
28.06.2023,11185,72281,7234,64837
29.06.2023,11185,72281,7234,64837
30.06.2023,11185,72281,7234,64837
01.07.2023,11185,72281,7234,64837
02.07.2023,11185,72281,7234,64837
03.07.2023,11185,72281,7234,64837
04.07.2023,11185,72281,7234,64837
05.07.2023,11185,72281,7234,64837
06.07.2023,11185,72281,7234,64837
07.07.2023,11185,72281,7234,64837
08.07.2023,11185,72281,7234,64837
09.07.2023,11185,72281,7234,64837
10.07.2023,11185,72281,7234,64837
11.07.2023,11185,72281,7234,64837
12.07.2023,11185,72281,7234,64837
13.07.2023,11185,72281,7234,64837
14.07.2023,11185,72281,7234,64837
15.07.2023,11185,72281,7234,64837
16.07.2023,11185,72281,7234,64837
17.07.2023,11185,72281,7234,64837
18.07.2023,11185,72281,7234,64837
19.07.2023,11185,72281,7234,64837
20.07.2023,11185,72281,7234,64837
21.07.2023,11185,72281,7234,64837
22.07.2023,11185,72281,7234,64837
23.07.2023,11185,72281,7234,64837
24.07.2023,11185,72281,7234,64837
25.07.2023,11185,72281,7234,64837
26.07.2023,11185,72281,7234,64837
27.07.2023,11185,72281,7234,64837
28.07.2023,11185,72281,7234,64837
29.07.2023,11185,72281,7234,64837
30.07.2023,11185,72281,7234,64837
31.07.2023,11185,72281,7234,64837
01.08.2023,11185,72281,7234,64837
02.08.2023,11185,72281,7234,64837
03.08.2023,11185,72281,7234,64837
04.08.2023,11185,72281,7234,64837
05.08.2023,11185,72281,7234,64837
06.08.2023,11185,72281,7234,64837
07.08.2023,11185,72281,7234,64837
08.08.2023,11185,72281,7234,64837
09.08.2023,11185,72281,7234,64837
10.08.2023,11185,72281,7234,64837
11.08.2023,11185,72281,7234,64837
12.08.2023,11185,72281,7234,64837
13.08.2023,11185,72281,7234,64837
14.08.2023,11185,72281,7234,64837
15.08.2023,11185,72281,7234,64837
16.08.2023,11185,72281,7234,64837
17.08.2023,11185,72281,7234,64837
18.08.2023,11185,72281,7234,64837
19.08.2023,11185,72281,7234,64837
20.08.2023,11185,72281,7234,64837
21.08.2023,11185,72281,7234,64837
22.08.2023,11185,72281,7234,64837
23.08.2023,11185,72281,7234,64837
24.08.2023,11185,72281,7234,64837
25.08.2023,11185,72281,7234,64837
26.08.2023,11185,72281,7234,64837
27.08.2023,11185,72281,7234,64837
28.08.2023,11185,72281,7234,64837
29.08.2023,11185,72281,7234,64837
30.08.2023,11185,72281,7234,64837
31.08.2023,11185,72281,7234,64837
01.09.2023,11185,72281,7234,64837
02.09.2023,11185,72281,7234,64837
03.09.2023,11185,72281,7234,64837
04.09.2023,11185,72281,7234,64837
05.09.2023,11185,72281,7234,64837
06.09.2023,11185,72281,7234,64837
07.09.2023,11185,72281,7234,64837
08.09.2023,11185,72281,7234,64837
09.09.2023,11185,72281,7234,64837
10.09.2023,11185,72281,7234,64837
11.09.2023,11185,72281,7234,64837
12.09.2023,11185,72281,7234,64837
13.09.2023,11185,72281,7234,64837
14.09.2023,11185,72281,7234,64837
15.09.2023,11185,72281,7234,64837
16.09.2023,11185,72281,7234,64837
17.09.2023,11185,72281,7234,64837
18.09.2023,11185,72281,7234,64837
19.09.2023,11185,72281,7234,64837
20.09.2023,11185,72281,7234,64837
