date,inner_emoped_au,outer_emoped_au
28.05.2023,0.003015379,0.004236754
29.05.2023,0.004375221,0.002658283
30.05.2023,0.001487593,0.003039623
31.05.2023,0.000472147,0.002607775
01.06.2023,0.009010328,0.010863489
02.06.2023,0.003415118,0.002911643
03.06.2023,0,0
04.06.2023,0.000724204,0.001020074
05.06.2023,0.00057147,0.000422542
06.06.2023,0.003386802,0.003591947
07.06.2023,0.002051055,0.002145376
08.06.2023,0,0.001535448
09.06.2023,0,0.009911643
10.06.2023,0.008172093,0.001415629
11.06.2023,0.001715734,0.002020074
12.06.2023,0.013738042,0.000695825
13.06.2023,0.004542604,0.001012017
14.06.2023,0.002889581,0.002607775
15.06.2023,0.000499505,0.005535448
16.06.2023,0.002220219,0.001202743
17.06.2023,0.002768617,0
18.06.2023,0.001861104,0.004236754
19.06.2023,0.001134252,0.002385
20.06.2023,0.001848992,0.003591947
21.06.2023,0.001405429,0.004607775
22.06.2023,0.001170773,0.001535448
23.06.2023,0.002218134,0.003899629
24.06.2023,0.00246706,0
25.06.2023,0.002298539,0.002611039
26.06.2023,0.00057147,0.000422542
27.06.2023,0.004688454,0.00236756
28.06.2023,0.00362193,0.004680853
29.06.2023,0,0
30.06.2023,0.005172,0.005172
01.07.2023,0,0.003362
02.07.2023,0.008546,0.003418
03.07.2023,0,0.003262
04.07.2023,0.011648,0.004992
05.07.2023,0,0.005034
06.07.2023,0.001664,0
07.07.2023,0.008489,0.001698
08.07.2023,0.003676,0.007352
09.07.2023,0.003514,0
10.07.2023,0.001736,0
11.07.2023,0.005349,0.007131
12.07.2023,0.003584,0.003584
13.07.2023,0.002333685,0.003450774
14.07.2023,0.003632392,0.004595904
15.07.2023,0.003629584,0.003227375
16.07.2023,0,0.00367
17.07.2023,0,0.005291
18.07.2023,0.007092,0.008865
19.07.2023,0,0.001733
20.07.2023,0,0.003552
21.07.2023,0.005301,0.007068
22.07.2023,0.004917,0.004918
23.07.2023,0.003472,0.005208
24.07.2023,0.009949,0.001658
25.07.2023,0.012861,0.003216
26.07.2023,0.003134,0.004702
27.07.2023,0,0.001582
28.07.2023,0.001675,0.0067
29.07.2023,0.006804,0.003402
30.07.2023,0,0.001709
31.07.2023,0,0.00329
01.08.2023,0,0.010102
02.08.2023,0.001653,0.003306
03.08.2023,0.001653,0.001653
04.08.2023,0.003632392,0.004595904
05.08.2023,0,0.004992
06.08.2023,0.001667,0.005
07.08.2023,0.001626,0.00813
08.08.2023,0.008025,0.001605
09.08.2023,0,0.003378
10.08.2023,0.003396,0
11.08.2023,0.003362,0.003362
12.08.2023,0.003412,0
13.08.2023,0,0.001724
14.08.2023,0,0.005001
15.08.2023,0.003478,0
16.08.2023,0.008835,0.003534
17.08.2023,0.00343,0.006861
18.08.2023,0.006992,0.005245
19.08.2023,0.003514,0.005272
20.08.2023,0.006862,0.005146
21.08.2023,0,0.003279
22.08.2023,0.00523143,0.005131472
23.08.2023,0,0.005137
24.08.2023,0.002333685,0.003450774
25.08.2023,0.00349,0.001745
26.08.2023,0.0067,0.0067
27.08.2023,0,0.001684
28.08.2023,0.001645,0.003289
29.08.2023,0.00523143,0.005131472
30.08.2023,0.003160508,0.004281846
31.08.2023,0.003344,0.006689
01.09.2023,0,0.006745
02.09.2023,0.001686,0
03.09.2023,0.008742,0
04.09.2023,0.007006,0.001751
05.09.2023,0.003372,0.005059
06.09.2023,0.004975,0.001658
07.09.2023,0.001724,0.001724
08.09.2023,0,0.003571
09.09.2023,0,0.009276
10.09.2023,0.003642,0.007285
11.09.2023,0.005607,0.001869
12.09.2023,0.005556,0.001852
13.09.2023,0.012523,0.008945
14.09.2023,0.00678,0.00678
15.09.2023,0.008519,0.005111
16.09.2023,0.010327,0.001721
17.09.2023,0,0.016363
18.09.2023,0.007182,0.007181
19.09.2023,0.005136,0.020547
20.09.2023,0.005424,0.010849
